#{"t_start": 1763052443.3852305, "env_id": "GridWorld-v3"}
r,l,t
60.5,100,80.65914
180.5,100,80.816607
39.0,55,80.866846
37.5,23,80.899667
35.0,20,80.918583
38.0,100,81.102233
4.5,100,81.247926
153.0,100,81.410088
6.5,10,81.417518
37.5,100,81.614813
54.5,74,81.694564
-132.0,100,81.870998
34.0,49,81.914838
-6.0,100,82.101917
47.5,46,82.14646
54.5,100,82.31219
96.5,96,82.492406
37.5,100,82.742227
71.0,61,82.801035
20.5,47,82.923015
112.0,76,82.990095
16.0,6,82.996608
56.0,38,83.10868
19.5,8,83.11681
21.0,100,83.203204
25.0,25,83.294107
25.5,52,83.339375
18.5,9,83.347118
147.5,100,83.505363
19.0,25,83.519935
143.0,100,83.707494
54.5,23,83.716503
20.5,7,83.730739
32.0,100,83.8918
142.0,100,84.049186
142.0,100,84.154156
34.0,23,84.257822
20.0,13,84.27041
-0.5,7,84.277417
-3.5,37,84.31538
20.5,18,84.322891
25.5,24,84.353103
7.5,4,84.357673
87.0,100,84.51786
30.5,19,84.544949
96.0,91,84.716635
22.5,11,84.729241
35.5,14,84.74244
48.0,51,84.865088
57.5,45,84.902781
15.0,13,84.912907
2.5,14,84.920087
12.5,4,84.920087
-65.0,100,85.105588
7.5,4,85.109119
-94.5,100,85.287499
13.5,9,85.296005
36.0,30,85.316499
103.5,100,85.477655
-12.0,100,85.637564
4.5,100,85.724557
78.0,54,85.860944
109.0,100,86.020255
175.0,100,86.115959
21.0,100,86.292345
86.5,59,86.416871
70.5,100,86.505646
165.0,100,86.663647
37.5,100,86.877298
10.0,1,86.879306
24.0,20,86.900296
-83.5,100,87.061689
127.5,83,87.239961
224.5,100,87.329013
21.5,100,87.509258
13.5,56,87.654289
17.0,16,87.668876
-100.0,100,87.838706
27.0,17,87.855519
5.0,6,87.860041
120.0,100,87.95748
450.0,100,88.120969
87.0,100,88.286689
19.5,25,88.312933
65.0,100,88.492585
37.0,18,88.50974
-34.0,100,88.673014
208.0,100,88.849873
-67.0,100,89.022118
45.0,21,89.044774
235.5,100,89.12442
16.5,22,89.213351
8.0,14,89.217317
29.5,20,89.241502
7.5,10,89.2493
0.0,22,89.266429
125.5,100,89.427555
54.0,100,89.581621
22.5,11,89.590787
14.5,24,89.610708
6.5,17,89.616931
38.5,22,89.642933
9.0,2,89.644933
22.5,23,89.664122
54.5,100,89.813176
52.5,59,89.949702
27.5,100,90.100435
450.0,100,90.170508
24.0,100,90.374912
15.5,18,90.390398
77.0,100,90.560949
25.5,65,90.684159
85.0,69,90.747972
-6.5,100,90.902592
21.0,100,91.090841
92.5,100,91.189677
87.0,100,91.35646
76.0,100,91.521811
15.0,7,91.522338
18.0,32,91.555913
4.5,12,91.565729
51.0,28,91.672161
17.0,5,91.674411
120.5,100,91.766853
103.5,100,91.930384
88.0,44,92.049093
147.5,100,92.142037
301.5,100,92.305133
147.5,100,92.480672
76.5,100,92.723575
70.5,100,92.820259
16.5,11,92.911072
34.5,15,92.925375
125.5,100,93.020337
84.5,53,93.160668
8.5,20,93.179738
92.5,100,93.348833
81.5,100,93.52104
94.5,65,93.587676
153.5,100,93.753994
43.5,17,93.768338
18.5,26,93.796605
109.0,100,93.967923
225.0,100,94.148726
125.5,100,94.30827
3.5,19,94.329095
39.0,27,94.354614
114.5,100,94.547456
23.5,10,94.557429
109.0,100,94.766373
19.0,9,94.774978
55.0,56,94.830898
9.0,2,94.833927
27.5,22,94.85987
4.0,40,94.986142
78.0,49,95.03388
44.5,38,95.077047
197.0,100,95.296054
120.0,100,95.472463
136.5,100,95.65545
-0.5,18,95.674245
202.5,100,95.771766
120.0,100,95.955995
-11.5,24,95.97824
16.0,83,96.14673
11.0,6,96.16057
98.0,100,96.37342
93.5,100,96.546363
10.0,18,96.564528
153.0,100,96.760843
-1.5,51,96.817895
109.0,100,97.016663
136.5,100,97.200768
14.5,25,97.226982
23.5,21,97.254631
4.5,7,97.262505
